,GAME_ID,HOMEML,AWAYML,WL_HOME,HOMESPREAD_ATCLOSE,PRED_SPREAD,HWAGER,AWAGER,PRED_ML
1616,21300351,2.35,1.6451612903225803,L,3.5,-6.2500706,0.0,0.0,0.8997588
1617,21801188,1.1666666666666667,5.25,W,-10.0,-9.696694,0.0,0.0,0.83524185
1618,21900476,2.4,1.625,L,3.0,-3.882632,0.0,0.0,0.6205323
1619,21801071,1.3846153846153846,3.1,L,-5.5,0.4476362,0.0,0.0,0.5777614
1620,21900702,1.0833333333333333,8.5,W,-13.0,2.4457922,0.0,0.0,0.6126581
1621,21900570,1.869565217391304,1.9523809523809523,L,-1.0,2.8550694,0.0,0.0,0.30245346
1622,21500867,2.75,1.5,L,5.0,1.8672298,0.0,0.0,0.39588034
1623,20801086,1.2127659574468086,4.7,W,-8.5,-6.54496,0.0,0.0,0.7270112
1624,21600658,1.5,2.75,W,-5.0,-1.14047,0.0,0.0,0.55643547
1625,41000302,1.7407407407407407,2.15,L,-2.5,2.8171399,0.0,0.0,0.5338572
1626,21000607,1.3125,3.6,W,-7.0,-10.585347,0.0,0.0,0.8086586
1627,21500806,1.7692307692307692,2.1,W,-2.0,-6.1039696,0.0,0.0,0.6843088
1628,20700448,1.6451612903225803,2.35,L,-3.0,0.3922034,1.0,0.0,0.6489778
1629,22001030,2.05,1.8,W,2.0,3.167577,0.0,0.0,0.3902978
1630,21800398,1.625,2.4,W,-3.0,-4.0602474,0.0,0.0,0.8904873
1631,21301166,1.3174603174603174,3.6,W,-7.0,3.0815246,0.0,0.0,0.59885013
1632,21100296,2.15,1.7407407407407407,L,2.5,-2.1230073,0.0,0.0,0.41672492
1633,21801092,1.0714285714285714,9.0,L,-13.5,-5.975698,0.0,0.0,0.7313431
1634,20900524,1.5555555555555556,2.58,W,-4.0,-1.0528473,0.0,0.0,0.6258209
1635,21400680,4.65,1.2150537634408602,L,8.5,1.2261372,0.0,0.0,0.42968762
1636,21400122,1.7142857142857144,2.2,L,-2.5,-7.4151673,0.0,0.0,0.69385594
1637,21500303,1.1,7.5,W,-11.5,-6.6203203,0.0,0.0,0.8917648
1638,41500162,1.04,12.0,L,-14.0,-8.378532,0.0,0.0,0.66643333
1639,20701135,1.4761904761904765,2.75,W,-5.0,-0.014667727,0.0,0.0,0.57597524
1640,21201207,2.9,1.4444444444444444,L,5.5,-4.0472407,0.0,0.0,0.6016595
1641,20701120,1.5,2.7,W,-5.0,-8.481346,0.0,0.0,0.88793343
1642,20801091,1.194174757281553,5.25,W,-9.0,-0.82447976,0.0,0.0,0.45240882
1643,20900717,1.3125,3.6,W,-7.5,-10.774578,0.0,0.0,0.80621976
1644,41600302,2.84,1.4545454545454546,L,5.0,0.3258143,0.0,0.0,0.41026714
1645,21700547,1.6666666666666663,2.3,L,-3.0,3.1816123,0.0,0.0,0.58000034
1646,21300734,1.0921658986175116,7.85,W,-12.0,-5.135534,0.0,0.0,0.75598365
1647,21300660,1.4,3.1,W,-6.0,-8.09372,0.0,0.0,0.6959452
1648,21000034,1.4761904761904765,2.75,W,-5.5,-3.398022,0.0,0.0,0.65662974
1649,21700183,1.1538461538461535,5.5,W,-10.5,-10.124894,0.0,0.0,0.898398
1650,21401115,1.5405405405405406,2.6,W,-4.0,-0.47380435,0.0,0.0,0.5814427
1651,21900269,2.3,1.6666666666666663,L,3.0,8.325512,0.0,1.0,0.28402248
1652,21500408,1.4166666666666667,3.0,L,-5.5,-4.2523675,0.0,0.0,0.8043573
1653,21500714,1.526315789473684,2.7,W,-4.5,-3.7369401,0.0,0.0,0.7181791
1654,21800420,1.1,7.5,W,-12.0,-8.168959,0.0,0.0,0.6964988
1655,21900005,1.181818181818182,5.0,W,-9.5,0.6962072,0.0,0.0,0.43154022
1656,21601178,1.4761904761904765,2.8,W,-5.0,-4.2348332,0.0,0.0,0.5427631
1657,40800113,1.5882352941176472,2.5,L,-4.0,2.8910432,0.0,0.0,0.53338987
1658,21100138,3.4,1.3333333333333333,L,6.5,2.2365794,0.0,0.0,0.53474873
1659,22000524,1.4,3.1,W,-6.5,-2.0772974,0.0,0.0,0.5919064
1660,21300685,1.2222222222222223,4.55,W,-9.0,-5.862184,0.0,0.0,0.7137447
1661,21900374,2.9,1.4166666666666667,L,5.5,-2.9231656,0.0,0.0,0.56881255
1662,21700115,1.5882352941176472,2.45,W,-3.5,-3.5743551,0.0,0.0,0.64302707
1663,21400739,1.0675675675675675,11.3,W,-13.5,-8.7810135,0.0,0.0,0.8923361
1664,21200414,1.2702702702702702,4.1,W,-8.0,-7.9960117,0.0,0.0,0.7679273
1665,21000888,1.4761904761904765,2.75,L,-5.0,-2.8102505,0.0,0.0,0.7079421
1666,41800313,1.6451612903225803,2.35,L,-2.5,-4.2669697,0.0,0.0,0.6218891
1667,21700853,1.1428571428571428,6.0,W,-10.0,-4.1017346,0.0,0.0,0.6066218
1668,21800981,1.25,4.0,W,-7.5,-2.4308937,0.0,0.0,0.5134415
1669,21800919,1.2,4.75,W,-10.0,-4.3565407,0.0,0.0,0.5630515
1670,21700354,1.1666666666666667,5.25,W,-10.0,-6.3624215,0.0,0.0,0.78590393
1671,21100411,2.55,1.5714285714285714,L,4.0,-0.37595898,0.0,0.0,0.3806997
1672,22000150,2.15,1.7407407407407407,L,2.0,5.5515385,0.0,0.0,0.45118502
1673,21300174,1.425531914893617,2.95,W,-5.5,-8.303753,0.0,0.0,0.7295604
1674,20800102,3.0,1.4166666666666667,L,6.0,-6.7498274,0.0,0.0,0.8136923
