GAME_ID,SEASON_ID,TEAM_ID_AWAY,TEAM_ABBREVIATION_AWAY,TEAM_NAME_AWAY,GAME_DATE_AWAY,MATCHUP_AWAY,WL_AWAY,MIN_AWAY,FGM_AWAY,FGA_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3A_AWAY,FG3_PCT_AWAY,FTM_AWAY,FTA_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PTS_AWAY,PLUS_MINUS_AWAY,VIDEO_AVAILABLE_AWAY,TEAM_ID_HOME,TEAM_ABBREVIATION_HOME,TEAM_NAME_HOME,GAME_DATE_HOME,MATCHUP_HOME,WL_HOME,MIN_HOME,FGM_HOME,FGA_HOME,FG_PCT_HOME,FG3M_HOME,FG3A_HOME,FG3_PCT_HOME,FTM_HOME,FTA_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PTS_HOME,PLUS_MINUS_HOME,VIDEO_AVAILABLE_HOME
0022100488,22021,1610612737,ATL,Atlanta Hawks,2021-12-25,ATL @ NYK,L,240,33,87,0.379,13,38,0.342,8,14,0.571,8,38,46,23,8,5,12,12,87,-14,1,1610612752,NYK,New York Knicks,2021-12-25,NYK vs. ATL,W,240,38,85,0.447,20,50,0.4,5,12,0.417,9,41,50,28,6,6,10,13,101,14,1
0022100489,22021,1610612738,BOS,Boston Celtics,2021-12-25,BOS @ MIL,L,240,38,89,0.427,17,45,0.378,20,24,0.833,11,33,44,24,9,8,14,23,113,-4,1,1610612749,MIL,Milwaukee Bucks,2021-12-25,MIL vs. BOS,W,240,43,91,0.473,12,33,0.364,19,27,0.704,15,33,48,24,7,6,13,20,117,4,1
0022100490,22021,1610612744,GSW,Golden State Warriors,2021-12-25,GSW @ PHX,W,240,42,85,0.494,14,37,0.378,18,21,0.857,12,30,42,28,11,7,11,22,116,9,1,1610612756,PHX,Phoenix Suns,2021-12-25,PHX vs. GSW,L,240,40,83,0.482,11,30,0.367,16,16,1.0,9,28,37,20,5,2,13,17,107,-9,1
0022100491,22021,1610612751,BKN,Brooklyn Nets,2021-12-25,BKN @ LAL,W,240,43,89,0.483,14,32,0.438,22,27,0.815,6,35,41,31,6,10,12,25,122,7,1,1610612747,LAL,Los Angeles Lakers,2021-12-25,LAL vs. BKN,L,240,40,96,0.417,10,35,0.286,25,28,0.893,12,35,47,29,8,5,14,23,115,-7,1
0022100492,22021,1610612742,DAL,Dallas Mavericks,2021-12-25,DAL @ UTA,L,240,38,89,0.427,10,30,0.333,30,35,0.857,8,35,43,19,7,3,14,31,116,-4,1,1610612762,UTA,Utah Jazz,2021-12-25,UTA vs. DAL,W,240,40,90,0.444,12,36,0.333,28,37,0.757,13,36,49,24,9,6,14,24,120,4,1
0022100493,22021,1610612753,ORL,Orlando Magic,2021-12-26,ORL @ MIA,,180,29,70,0.414,8,30,0.267,10,16,0.625,8,35,43,16,4,4,19,18,76,-15,0,1610612748,MIA,Miami Heat,2021-12-26,MIA vs. ORL,,180,36,86,0.419,10,32,0.313,9,16,0.563,17,31,48,28,7,1,12,19,91,15,0
